"","workerid","proliferate.condition","first_response_value","item","item_number","item_type","length","response","sentence","verb_id","sentence_id","trial_sequence_total","verb","wh_type","wrong_attempts","error"
"3",4647,"Experiment Group",NA,28,"","","short",0.16,"丞相想知道谁感觉将军威胁了大臣。",12,228121,1,"感觉","arg",NA,NA
"5",4647,"Experiment Group",NA,5,"","","long",0.16,"市长想知道议员觉得艺术家联系了谁。",2,205022,3,"觉得","arg",NA,NA
"6",4647,"Experiment Group",NA,2,"","","long",0.15,"法官想知道律师认为警察为什么审问了学生。",13,102132,4,"认为","adj",NA,NA
"9",4647,"Experiment Group",NA,20,"","","long",0.41,"售货员想知道作曲家说摄影师指责了谁。",1,220012,7,"说","arg",NA,NA
"11",4647,"Experiment Group",NA,7,"","","long",0.49,"村长想知道农民怕电工无视了谁。",6,207062,9,"怕","arg",NA,NA
"13",4647,"Experiment Group",NA,6,"","","long",0.12,"检察官想知道教练员想音乐家开除了谁。",5,206052,11,"想","arg",NA,NA
"14",4647,"Experiment Group",NA,15,"","","short",0.27,"主持人想知道谁希望政府官员批评了总统候选人。",3,215031,12,"希望","arg",NA,NA
"16",4647,"Experiment Group",NA,16,"","","long",0.85,"大学生想知道记者认为音乐老师夸赞了谁。",13,216132,14,"认为","arg",NA,NA
"18",4647,"Experiment Group",NA,1,"","","short",0.37,"老师想知道学生为什么感觉修理工打了快递员。",12,101121,16,"感觉","adj",NA,NA
"19",4647,"Experiment Group",NA,9,"","","short",0.08,"将军想知道谁喜欢士兵跟踪了总统。",7,209071,17,"喜欢","arg",NA,NA
"21",4647,"Experiment Group",NA,31,"","","long",0,"心理学家想知道大学生希望保姆为什么讨好了理发师。",3,131032,19,"希望","adj",NA,NA
"22",4647,"Experiment Group",NA,14,"","","short",0.11,"英语老师想知道工程师为什么想中学生举报了店员。",5,114051,20,"想","adj",NA,NA
"24",4647,"Experiment Group",NA,17,"","","short",0.14,"会计想知道谁认为编辑邀请了神父。",13,217131,22,"认为","arg",NA,NA
"26",4647,"Experiment Group",NA,27,"","","short",0.16,"法医想知道业务员为什么怕罪犯谋害了程序员。",6,127061,24,"怕","adj",NA,NA
"29",4647,"Experiment Group",NA,29,"","","short",0.4,"编辑想知道法务顾问为什么认为杂技演员抚养了小女孩。",13,129131,27,"认为","adj",NA,NA
"31",4647,"Experiment Group",NA,24,"","","short",0.48,"仓库管理员想知道谁说保险代理人挖苦了模特。",1,224011,29,"说","arg",NA,NA
"32",4647,"Experiment Group",NA,10,"","","short",0.92,"导游想知道谁觉得保安袭击了商贩。",2,210021,30,"觉得","arg",NA,NA
"37",4647,"Experiment Group",NA,8,"","","long",0.09,"侦探想知道售货员想飞行员为什么羞辱了卡车司机。",5,108052,35,"想","adj",NA,NA
"39",4647,"Experiment Group",NA,3,"","","long",0.09,"经理想知道厨师感觉服务员为什么接待了乞丐。",12,103122,37,"感觉","adj",NA,NA
"40",4647,"Experiment Group",NA,26,"","","long",0.23,"制片人想知道健身教练喜欢化妆师为什么监视了调酒师。",7,126072,38,"喜欢","adj",NA,NA
"42",4647,"Experiment Group",NA,13,"","","long",0,"服务员想知道售票员感觉演说家欺骗了谁。",12,213122,40,"感觉","arg",NA,NA
"43",4647,"Experiment Group",NA,4,"","","long",0.1,"教授想知道工程师觉得秘书为什么批评了运动员。",2,104022,41,"觉得","adj",NA,NA
"45",4647,"Experiment Group",NA,19,"","","long",0.33,"经理想知道道士怕和尚为什么夸奖了乞丐。",6,119062,43,"怕","adj",NA,NA
"48",4647,"Experiment Group",NA,21,"","","short",0.19,"省长想知道药剂师为什么希望小报记者采访了税务员。",3,121031,46,"希望","adj",NA,NA
"51",4647,"Experiment Group",NA,12,"","","short",0,"包工头想知道和尚为什么喜欢播音员打伤了算命先生。",7,112071,49,"喜欢","adj",NA,NA
"52",4647,"Experiment Group",NA,32,"","","short",0.29,"助手想知道军官为什么说老师出卖了水手。",1,132011,50,"说","adj",NA,NA
"55",4647,"Experiment Group",NA,23,"","","long",0.3,"园丁想知道水管工希望焊工训斥了谁。",3,223032,53,"希望","arg",NA,NA
"58",4647,"Experiment Group",NA,11,"","","long",0.17,"政客想知道医生说护士为什么推倒了男孩。",1,111012,56,"说","adj",NA,NA
