"","workerid","proliferate.condition","first_response_value","item","item_number","item_type","length","response","sentence","sentence_id","trial_sequence_total","verb","wh_type","wrong_attempts","verb.1"
"3",4865,"Experiment Group",NA,1,"","","short",0.98,"老师想知道谁说修理工打了快递员。",201141,1,"说","arg",NA,14
"4",4865,"Experiment Group",NA,11,"","","long",0.08,"政客想知道医生透露护士为什么推倒了男孩。",111082,2,"透露","adj",NA,8
"6",4865,"Experiment Group",NA,3,"","","long",0.15,"经理想知道厨师抱怨服务员为什么接待了乞丐。",103042,4,"抱怨","adj",NA,4
"8",4865,"Experiment Group",NA,6,"","","long",0.01,"检察官想知道教练员猜音乐家开除了谁。",206132,6,"猜","arg",NA,13
"9",4865,"Experiment Group",NA,17,"","","short",0.02,"会计想知道演员为什么透露编辑邀请了神父。",117081,7,"透露","adj",NA,8
"11",4865,"Experiment Group",NA,16,"","","short",0.01,"大学生想知道谁保证音乐老师夸赞了歌手。",216071,9,"保证","arg",NA,7
"13",4865,"Experiment Group",NA,29,"","","short",0.01,"编辑想知道法务顾问为什么抱怨杂技演员抚养了小女孩。",129041,11,"抱怨","adj",NA,4
"15",4865,"Experiment Group",NA,15,"","","long",0,"主持人想知道学者坚称政府官员批评了谁。",215022,13,"坚称","arg",NA,2
"20",4865,"Experiment Group",NA,12,"","","short",0.42,"包工头想知道谁猜播音员打伤了算命先生。",212131,18,"猜","arg",NA,13
"22",4865,"Experiment Group",NA,18,"","","short",0.02,"船长想知道谁抱怨飞行员责备了经济学家。",218041,20,"抱怨","arg",NA,4
"23",4865,"Experiment Group",NA,28,"","","long",0,"丞相想知道皇上证实将军为什么威胁了大臣。",128092,21,"证实","adj",NA,9
"26",4865,"Experiment Group",NA,26,"","","short",0.01,"制片人想知道健身教练为什么认同化妆师监视了调酒师。",126111,24,"认同","adj",NA,11
"27",4865,"Experiment Group",NA,22,"","","long",0.01,"顾问想知道外交官保证生物学家为什么嘲讽了哲学家。",122072,25,"保证","adj",NA,7
"29",4865,"Experiment Group",NA,23,"","","long",1,"园丁想知道水管工证实焊工训斥了谁。",223092,27,"证实","arg",NA,9
"31",4865,"Experiment Group",NA,30,"","","long",0.14,"舞蹈老师想知道实习生坚称歌手为什么赞美了剧作家。",130022,29,"坚称","adj",NA,2
