workerid,proliferate.condition,age,asses,comments,education,enjoyment,fairprice,gender,language,problems,error
201,condition1,33,Yes,,4,1,,Male,English,,
125,condition1,43,Yes,,3,1,,Female,English,no,
39,condition1,68,Yes,,4,2,2.00,Male,English,no,
106,condition1,66,Yes,"Two sentences contain typos or misspellings, so I considered them unacceptable on that basis alone.",4,2,,Female,English,No,
254,condition1,26,Yes,,3,1,3$,Female,English,no,
204,condition1,30,Yes,,2,1,"
$2",Female,English,no,
176,condition1,50,Yes,,2,2,2.00,Female,english,no,
194,condition1,61,Yes,"None, thank you",1,2,yes could be more,Female,English,no,
43,condition1,35,Yes,,2,1,,Female,English,No,
36,condition1,24,Yes,,-1,-1,,Female,English,No,
237,condition1,35,Yes,,3,1,"Yes, 100%",Male,English,,
132,condition1,56,Yes,THANK YOU!  Good luck with your research.,2,2,3.00,Female,English,None that I noticed,
135,condition1,44,Yes,,3,2,yes,Female,English,no,
203,condition1,29,Yes,,3,1,what was advertised,Female,english,no problems,
185,condition1,20,Yes,,2,2,$2,Female,English,,
88,condition1,39,Yes,,2,2,1.00,Female,english,,
119,condition1,30,Yes,,1,1,,Female,English,,
193,condition1,21,Yes,N/A,1,1,$15 /hr,Female,English,No,
118,condition1,18,Yes,,2,2,$2,Male,English,,
100,condition1,52,Yes,,3,2,2.25,Male,English,,
73,condition1,69,Yes,There were hardly any partially good or bad sentences. Most were clearly fine of just wrong.,3,1,$2,Female,English,,
138,condition1,26,Yes,,2,1,4,Female,English,No issues that I could see,
220,condition1,25,Yes,,4,1,2.00,Female,English,No,
227,condition1,48,Yes,Nothing that stands out. Was clear and no issues.,2,1,1.25,Female,English,No issues,
69,condition1,24,Yes,,1,1,$2.00,Male,English,No,
51,condition1,32,Yes,,1,1,The posted amount.,Male,English,Nope,
253,condition1,29,Yes,,2,-1,,Female,English,,
83,condition1,38,Yes,,2,1,2.00,Female,English,,
109,condition1,47,Yes,Everything worked great,2,1,1.75,Male,English,No,
116,condition1,58,Yes,"I know the rules for either/both, but in some cases I think both 'is' or 'are' feel ok",3,1,$3.00,Other,English,,
79,condition1,42,Yes,,2,1,2.00,Female,english,,
199,condition1,67,Yes,It is interesting as I completely understand the fact that grammar does not have to be technically correct to be perfectly acceptable.  ,3,2,2.00,Female,English ,No,
195,condition1,34,Yes,,3,2,$2,Male,english,no,
55,condition1,29,Yes,none,2,1,1.50,Male,english,no,
129,condition1,33,Yes,,1,1,1.59,Male,English,no,
218,condition1,52,Yes,Thank you for having me take part in this experiment. ,2,2,Yes,Female,English,No there weren't any issues with the experiment.,
53,condition1,35,Yes,,2,2,$5,Female,English,No,
230,condition1,52,Yes,,2,1,2,Female,English,no,
20,condition1,40,Yes,,4,1,,Female,English,No,
208,condition1,47,Yes,,3,2,1.50,Female,english,no,
190,condition1,73,Yes,,4,0,3.00,Female,english,no,
207,condition1,27,Yes,,4,1,2 USD,Male,English,no,
101,condition1,23,Yes,,3,1,,Female,English,,
