workerid,proliferate.condition,condition_alt,condition_cop,condition_gram,condition_loc,conj1,conj2,first_response_value,item_number,item_type,predicate,response,sentence_id,trial_sequence_total,wrong_attempts,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
201,condition1,,,,,,,,practice_good,practice_good,,0.95,,0,0,[],33,Yes,,4,1,,Male,English,,Chrome,Windows,864,1536,5.582983333,
201,condition1,,,,,,,,practice_bad,practice_bad,,0.14,,0,0,[],33,Yes,,4,1,,Male,English,,Chrome,Windows,864,1536,5.582983333,
125,condition1,,,,,,,,practice_good,practice_good,,0.99,,0,0,[],43,Yes,,3,1,,Female,English,no,Chrome,Windows,1080,1920,6.568666667,
125,condition1,,,,,,,,practice_bad,practice_bad,,0.02,,0,0,[],43,Yes,,3,1,,Female,English,no,Chrome,Windows,1080,1920,6.568666667,
39,condition1,,,,,,,,practice_good,practice_good,,0.97,,0,0,[],68,Yes,,4,2,2,Male,English,no,Safari,Mac,900,1440,7.774416667,
39,condition1,,,,,,,,practice_bad,practice_bad,,0.11,,0,0,[],68,Yes,,4,2,2,Male,English,no,Safari,Mac,900,1440,7.774416667,
106,condition1,,,,,,,,practice_good,practice_good,,1,,0,0,[],66,Yes,"Two sentences contain typos or misspellings, so I considered them unacceptable on that basis alone.",4,2,,Female,English,No,Chrome,Windows,768,1366,13.11136667,
106,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],66,Yes,"Two sentences contain typos or misspellings, so I considered them unacceptable on that basis alone.",4,2,,Female,English,No,Chrome,Windows,768,1366,13.11136667,
254,condition1,,,,,,,,practice_good,practice_good,,0.98,,0,0,[],26,Yes,,3,1,3$,Female,English,no,Chrome,Mac,800,1280,7.587566667,
254,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],26,Yes,,3,1,3$,Female,English,no,Chrome,Mac,800,1280,7.587566667,
204,condition1,,,,,,,,practice_good,practice_good,,1,,0,0,[],30,Yes,,2,1,"
$2",Female,English,no,Chrome,Windows,1080,1920,11.13466667,
204,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],30,Yes,,2,1,"
$2",Female,English,no,Chrome,Windows,1080,1920,11.13466667,
176,condition1,,,,,,,,practice_good,practice_good,,0.97,,0,0,[],50,Yes,,2,2,2,Female,english,no,Chrome,Windows,864,1536,5.987516667,
176,condition1,,,,,,,,practice_bad,practice_bad,,0.03,,0,0,[],50,Yes,,2,2,2,Female,english,no,Chrome,Windows,864,1536,5.987516667,
194,condition1,,,,,,,,practice_good,practice_good,,0.9,,0,0,[],61,Yes,"None, thank you",1,2,yes could be more,Female,English,no,Safari,Mac,900,1440,6.49805,
194,condition1,,,,,,,,practice_bad,practice_bad,,0.02,,0,0,[],61,Yes,"None, thank you",1,2,yes could be more,Female,English,no,Safari,Mac,900,1440,6.49805,
43,condition1,,,,,,,,practice_good,practice_good,,1,,0,0,[],35,Yes,,2,1,,Female,English,No,Chrome,Windows,720,1280,6.680933333,
43,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],35,Yes,,2,1,,Female,English,No,Chrome,Windows,720,1280,6.680933333,
36,condition1,,,,,,,,practice_good,practice_good,,0.99,,0,0,[],24,Yes,,-1,-1,,Female,English,No,Chrome,Mac,900,1440,5.319983333,
36,condition1,,,,,,,,practice_bad,practice_bad,,0.17,,0,0,[],24,Yes,,-1,-1,,Female,English,No,Chrome,Mac,900,1440,5.319983333,
237,condition1,,,,,,,,practice_good,practice_good,,0.83,,0,0,[],35,Yes,,3,1,"Yes, 100%",Male,English,,Chrome,Windows,1080,1920,6.0397,
237,condition1,,,,,,,,practice_bad,practice_bad,,0.11,,0,0,[],35,Yes,,3,1,"Yes, 100%",Male,English,,Chrome,Windows,1080,1920,6.0397,
132,condition1,,,,,,,,practice_good,practice_good,,0.98,,0,0,[],56,Yes,THANK YOU!  Good luck with your research.,2,2,3,Female,English,None that I noticed,Chrome,Windows,750,1334,15.27865,
132,condition1,,,,,,,,practice_bad,practice_bad,,0.03,,0,0,[],56,Yes,THANK YOU!  Good luck with your research.,2,2,3,Female,English,None that I noticed,Chrome,Windows,750,1334,15.27865,
135,condition1,,,,,,,,practice_good,practice_good,,0.98,,0,0,[],44,Yes,,3,2,yes,Female,English,no,Chrome,Windows,864,1536,8.665233333,
135,condition1,,,,,,,,practice_bad,practice_bad,,0.12,,0,0,[],44,Yes,,3,2,yes,Female,English,no,Chrome,Windows,864,1536,8.665233333,
203,condition1,,,,,,,,practice_good,practice_good,,1,,0,0,[],29,Yes,,3,1,what was advertised,Female,english,no problems,Chrome,Mac,900,1440,6.959516667,
203,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],29,Yes,,3,1,what was advertised,Female,english,no problems,Chrome,Mac,900,1440,6.959516667,
185,condition1,,,,,,,0,practice_good,practice_good,,0.99,,0,1,[],20,Yes,,2,2,$2 ,Female,English,,Chrome,Windows,720,1280,7.26825,
185,condition1,,,,,,,,practice_bad,practice_bad,,0.01,,0,0,[],20,Yes,,2,2,$2 ,Female,English,,Chrome,Windows,720,1280,7.26825,
88,condition1,,,,,,,,practice_good,practice_good,,0.99,,0,0,[],39,Yes,,2,2,1,Female,english,,Chrome,Windows,1080,1920,5.2453,
88,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],39,Yes,,2,2,1,Female,english,,Chrome,Windows,1080,1920,5.2453,
119,condition1,,,,,,,,practice_good,practice_good,,1,,0,0,[],30,Yes,,1,1,,Female,English,,Chrome,Windows,864,1536,9.756883333,
119,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],30,Yes,,1,1,,Female,English,,Chrome,Windows,864,1536,9.756883333,
193,condition1,,,,,,,,practice_good,practice_good,,0.97,,0,0,[],21,Yes,N/A,1,1,$15 /hr,Female,English,No,Chrome,Mac,900,1440,5.41845,
193,condition1,,,,,,,,practice_bad,practice_bad,,0.01,,0,0,[],21,Yes,N/A,1,1,$15 /hr,Female,English,No,Chrome,Mac,900,1440,5.41845,
118,condition1,,,,,,,,practice_good,practice_good,,0.99,,0,0,[],18,Yes,,2,2,$2 ,Male,English,,Chrome,Mac,900,1440,6.290283333,
118,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],18,Yes,,2,2,$2 ,Male,English,,Chrome,Mac,900,1440,6.290283333,
100,condition1,,,,,,,,practice_good,practice_good,,0.96,,0,0,[],52,Yes,,3,2,2.25,Male,English,,Firefox,Linux,1080,1920,6.154333333,
100,condition1,,,,,,,,practice_bad,practice_bad,,0.03,,0,0,[],52,Yes,,3,2,2.25,Male,English,,Firefox,Linux,1080,1920,6.154333333,
73,condition1,,,,,,,,practice_good,practice_good,,1,,0,0,[],69,Yes,There were hardly any partially good or bad sentences. Most were clearly fine of just wrong.,3,1,$2 ,Female,English,,Chrome,Windows,1080,1920,9.26155,
73,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],69,Yes,There were hardly any partially good or bad sentences. Most were clearly fine of just wrong.,3,1,$2 ,Female,English,,Chrome,Windows,1080,1920,9.26155,
138,condition1,,,,,,,,practice_good,practice_good,,0.99,,0,0,[],26,Yes,,2,1,4,Female,English,No issues that I could see,Chrome,Windows,1440,2560,25.43175,
138,condition1,,,,,,,,practice_bad,practice_bad,,0.02,,0,0,[],26,Yes,,2,1,4,Female,English,No issues that I could see,Chrome,Windows,1440,2560,25.43175,
220,condition1,,,,,,,,practice_good,practice_good,,0.93,,0,0,[],25,Yes,,4,1,2,Female,English,No,Chrome,Windows,864,1536,5.409066667,
220,condition1,,,,,,,,practice_bad,practice_bad,,0.08,,0,0,[],25,Yes,,4,1,2,Female,English,No,Chrome,Windows,864,1536,5.409066667,
227,condition1,,,,,,,,practice_good,practice_good,,1,,0,0,[],48,Yes,Nothing that stands out. Was clear and no issues.,2,1,1.25,Female,English,No issues,Firefox,Mac,832,1280,7.7025,
227,condition1,,,,,,,,practice_bad,practice_bad,,0.17,,0,0,[],48,Yes,Nothing that stands out. Was clear and no issues.,2,1,1.25,Female,English,No issues,Firefox,Mac,832,1280,7.7025,
69,condition1,,,,,,,,practice_good,practice_good,,1,,0,0,[],24,Yes,,1,1,$2.00 ,Male,English,No,Firefox,Windows,1080,1920,6.43895,
69,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],24,Yes,,1,1,$2.00 ,Male,English,No,Firefox,Windows,1080,1920,6.43895,
51,condition1,,,,,,,,practice_good,practice_good,,0.99,,0,0,[],32,Yes,,1,1,The posted amount.,Male,English,Nope,Firefox,Mac,1008,1613,5.093183333,
51,condition1,,,,,,,,practice_bad,practice_bad,,0.07,,0,0,[],32,Yes,,1,1,The posted amount.,Male,English,Nope,Firefox,Mac,1008,1613,5.093183333,
253,condition1,,,,,,,,practice_good,practice_good,,1,,0,0,[],29,Yes,,2,-1,,Female,English,,Firefox,Windows,1080,1920,5.15365,
253,condition1,,,,,,,,practice_bad,practice_bad,,0.03,,0,0,[],29,Yes,,2,-1,,Female,English,,Firefox,Windows,1080,1920,5.15365,
83,condition1,,,,,,,,practice_good,practice_good,,0.97,,0,0,[],38,Yes,,2,1,2,Female,English,,Chrome,Windows,768,1366,5.20235,
83,condition1,,,,,,,,practice_bad,practice_bad,,0.01,,0,0,[],38,Yes,,2,1,2,Female,English,,Chrome,Windows,768,1366,5.20235,
109,condition1,,,,,,,,practice_good,practice_good,,0.99,,0,0,[],47,Yes,Everything worked great,2,1,1.75,Male,English,No,Chrome,Windows,864,1536,6.013333333,
109,condition1,,,,,,,,practice_bad,practice_bad,,0.01,,0,0,[],47,Yes,Everything worked great,2,1,1.75,Male,English,No,Chrome,Windows,864,1536,6.013333333,
116,condition1,,,,,,,,practice_good,practice_good,,0.97,,0,0,[],58,Yes,"I know the rules for either/both, but in some cases I think both 'is' or 'are' feel ok",3,1,$3.00 ,Other,English,,Firefox,Windows,684,1216,11.18725,
116,condition1,,,,,,,,practice_bad,practice_bad,,0.07,,0,0,[],58,Yes,"I know the rules for either/both, but in some cases I think both 'is' or 'are' feel ok",3,1,$3.00 ,Other,English,,Firefox,Windows,684,1216,11.18725,
79,condition1,,,,,,,,practice_good,practice_good,,0.97,,0,0,[],42,Yes,,2,1,2,Female,english,,Chrome,Mac,800,1280,4.2573,
79,condition1,,,,,,,,practice_bad,practice_bad,,0.08,,0,0,[],42,Yes,,2,1,2,Female,english,,Chrome,Mac,800,1280,4.2573,
199,condition1,,,,,,,,practice_good,practice_good,,0.97,,0,0,[],67,Yes,It is interesting as I completely understand the fact that grammar does not have to be technically correct to be perfectly acceptable.  ,3,2,2,Female,English ,No,Chrome,Windows,864,1536,10.7318,
199,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],67,Yes,It is interesting as I completely understand the fact that grammar does not have to be technically correct to be perfectly acceptable.  ,3,2,2,Female,English ,No,Chrome,Windows,864,1536,10.7318,
195,condition1,,,,,,,,practice_good,practice_good,,1,,0,0,[],34,Yes,,3,2,$2 ,Male,english,no,Firefox,Mac,1152,2048,8.540283333,
195,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],34,Yes,,3,2,$2 ,Male,english,no,Firefox,Mac,1152,2048,8.540283333,
55,condition1,,,,,,,,practice_good,practice_good,,0.8,,0,0,[],29,Yes,none,2,1,1.5,Male,english,no,Chrome,Windows,864,1536,11.66823333,
55,condition1,,,,,,,,practice_bad,practice_bad,,0.1,,0,0,[],29,Yes,none,2,1,1.5,Male,english,no,Chrome,Windows,864,1536,11.66823333,
129,condition1,,,,,,,,practice_good,practice_good,,0.97,,0,0,[],33,Yes,,1,1,1.59,Male,English,no,Firefox,Windows,768,1366,4.087033333,
129,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],33,Yes,,1,1,1.59,Male,English,no,Firefox,Windows,768,1366,4.087033333,
218,condition1,,,,,,,,practice_good,practice_good,,0.87,,0,0,[],52,Yes,Thank you for having me take part in this experiment. ,2,2,Yes,Female,English,No there weren't any issues with the experiment.,Chrome,Windows,960,1536,7.030283333,
218,condition1,,,,,,,,practice_bad,practice_bad,,0.06,,0,0,[],52,Yes,Thank you for having me take part in this experiment. ,2,2,Yes,Female,English,No there weren't any issues with the experiment.,Chrome,Windows,960,1536,7.030283333,
53,condition1,,,,,,,,practice_good,practice_good,,0.99,,0,0,[],35,Yes,,2,2,$5 ,Female,English,No,Chrome,Mac,900,1440,8.991433333,
53,condition1,,,,,,,,practice_bad,practice_bad,,0,,0,0,[],35,Yes,,2,2,$5 ,Female,English,No,Chrome,Mac,900,1440,8.991433333,
230,condition1,,,,,,,,practice_good,practice_good,,0.86,,0,0,[],52,Yes,,2,1,2,Female,English,no,Chrome,Windows,864,1536,20.39621667,
230,condition1,,,,,,,,practice_bad,practice_bad,,0.05,,0,0,[],52,Yes,,2,1,2,Female,English,no,Chrome,Windows,864,1536,20.39621667,
