Unique_id,Lexicalization,wh-type,Verb,Length,Matrix,Emb_subj,Wh1,Emb_verb,Emb2_subj,Wh2,Emb2_verb,Emb2_object,sentence
101011,1,adj,怀疑,short,老师想知道,学生,为什么,怀疑,修理工,,打了,快递员,老师想知道学生为什么怀疑修理工打了快递员。
101012,1,adj,怀疑,long,老师想知道,学生,,怀疑,修理工,为什么,打了,快递员,老师想知道学生怀疑修理工为什么打了快递员。
101021,1,adj,宣布,short,老师想知道,学生,为什么,宣布,修理工,,打了,快递员,老师想知道学生为什么宣布修理工打了快递员。
101022,1,adj,宣布,long,老师想知道,学生,,宣布,修理工,为什么,打了,快递员,老师想知道学生宣布修理工为什么打了快递员。
101031,1,adj,打赌,short,老师想知道,学生,为什么,打赌,修理工,,打了,快递员,老师想知道学生为什么打赌修理工打了快递员。
101032,1,adj,打赌,long,老师想知道,学生,,打赌,修理工,为什么,打了,快递员,老师想知道学生打赌修理工为什么打了快递员。
101041,1,adj,抱怨,short,老师想知道,学生,为什么,抱怨,修理工,,打了,快递员,老师想知道学生为什么抱怨修理工打了快递员。
101042,1,adj,抱怨,long,老师想知道,学生,,抱怨,修理工,为什么,打了,快递员,老师想知道学生抱怨修理工为什么打了快递员。
101051,1,adj,承认,short,老师想知道,学生,为什么,承认,修理工,,打了,快递员,老师想知道学生为什么承认修理工打了快递员。
101052,1,adj,承认,long,老师想知道,学生,,承认,修理工,为什么,打了,快递员,老师想知道学生承认修理工为什么打了快递员。
101061,1,adj,接受,short,老师想知道,学生,为什么,接受,修理工,,打了,快递员,老师想知道学生为什么接受修理工打了快递员。
101062,1,adj,接受,long,老师想知道,学生,,接受,修理工,为什么,打了,快递员,老师想知道学生接受修理工为什么打了快递员。
101071,1,adj,保证,short,老师想知道,学生,为什么,保证,修理工,,打了,快递员,老师想知道学生为什么保证修理工打了快递员。
101072,1,adj,保证,long,老师想知道,学生,,保证,修理工,为什么,打了,快递员,老师想知道学生保证修理工为什么打了快递员。
101081,1,adj,强调,short,老师想知道,学生,为什么,强调,修理工,,打了,快递员,老师想知道学生为什么强调修理工打了快递员。
101082,1,adj,强调,long,老师想知道,学生,,强调,修理工,为什么,打了,快递员,老师想知道学生强调修理工为什么打了快递员。
101091,1,adj,确认,short,老师想知道,学生,为什么,确认,修理工,,打了,快递员,老师想知道学生为什么确认修理工打了快递员。
101092,1,adj,确认,long,老师想知道,学生,,确认,修理工,为什么,打了,快递员,老师想知道学生确认修理工为什么打了快递员。
101101,1,adj,重申,short,老师想知道,学生,为什么,重申,修理工,,打了,快递员,老师想知道学生为什么重申修理工打了快递员。
101102,1,adj,重申,long,老师想知道,学生,,重申,修理工,为什么,打了,快递员,老师想知道学生重申修理工为什么打了快递员。
101111,1,adj,宣称,short,老师想知道,学生,为什么,宣称,修理工,,打了,快递员,老师想知道学生为什么宣称修理工打了快递员。
101112,1,adj,宣称,long,老师想知道,学生,,宣称,修理工,为什么,打了,快递员,老师想知道学生宣称修理工为什么打了快递员。
101121,1,adj,认为,short,老师想知道,学生,为什么,认为,修理工,,打了,快递员,老师想知道学生为什么认为修理工打了快递员。
101122,1,adj,认为,long,老师想知道,学生,,认为,修理工,为什么,打了,快递员,老师想知道学生认为修理工为什么打了快递员。
101131,1,adj,猜,short,老师想知道,学生,为什么,猜,修理工,,打了,快递员,老师想知道学生为什么猜修理工打了快递员。
101132,1,adj,猜,long,老师想知道,学生,,猜,修理工,为什么,打了,快递员,老师想知道学生猜修理工为什么打了快递员。
101141,1,adj,说,short,老师想知道,学生,为什么,说,修理工,,打了,快递员,老师想知道学生为什么说修理工打了快递员。
101142,1,adj,说,long,老师想知道,学生,,说,修理工,为什么,打了,快递员,老师想知道学生说修理工为什么打了快递员。
102011,2,adj,怀疑,short,法官想知道,律师,为什么,怀疑,警察,,审问了,学生,法官想知道律师为什么怀疑警察审问了学生。
102012,2,adj,怀疑,long,法官想知道,律师,,怀疑,警察,为什么,审问了,学生,法官想知道律师怀疑警察为什么审问了学生。
102021,2,adj,宣布,short,法官想知道,律师,为什么,宣布,警察,,审问了,学生,法官想知道律师为什么宣布警察审问了学生。
102022,2,adj,宣布,long,法官想知道,律师,,宣布,警察,为什么,审问了,学生,法官想知道律师宣布警察为什么审问了学生。
102031,2,adj,打赌,short,法官想知道,律师,为什么,打赌,警察,,审问了,学生,法官想知道律师为什么打赌警察审问了学生。
102032,2,adj,打赌,long,法官想知道,律师,,打赌,警察,为什么,审问了,学生,法官想知道律师打赌警察为什么审问了学生。
102041,2,adj,抱怨,short,法官想知道,律师,为什么,抱怨,警察,,审问了,学生,法官想知道律师为什么抱怨警察审问了学生。
102042,2,adj,抱怨,long,法官想知道,律师,,抱怨,警察,为什么,审问了,学生,法官想知道律师抱怨警察为什么审问了学生。
102051,2,adj,承认,short,法官想知道,律师,为什么,承认,警察,,审问了,学生,法官想知道律师为什么承认警察审问了学生。
102052,2,adj,承认,long,法官想知道,律师,,承认,警察,为什么,审问了,学生,法官想知道律师承认警察为什么审问了学生。
102061,2,adj,接受,short,法官想知道,律师,为什么,接受,警察,,审问了,学生,法官想知道律师为什么接受警察审问了学生。
102062,2,adj,接受,long,法官想知道,律师,,接受,警察,为什么,审问了,学生,法官想知道律师接受警察为什么审问了学生。
