workerid,proliferate.condition,condition_alt,condition_cop,condition_gram,condition_loc,conj1,conj2,first_response_value,item_number,item_type,predicate,response,sentence_id,trial_sequence_total,wrong_attempts,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
10,condition1,,,,,,,,practice_good,practice_good,,0.99,,0,0,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,,,,,,practice_bad,practice_bad,,0.02,,0,0,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,219,,,0.01,9219,1,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,101,,,1,9101,2,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,alt,singular,ungram,incongruent,those carpenters,those kids,,18,,building the tree house,0.1,1805,3,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,103,,,1,9103,4,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,alt,plural,ungram,incongruent,Zeynab,Emma,,14,,proofreading the manuscripts,0.98,1406,5,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,220,,,0,9220,6,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,plural,gram,,those trainers,those atheletes,,23,,working out at the gym,0.26,2308,7,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,111,,,0.98,9111,8,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,no_alt,plural,ungram,congruent,Andy,those farmers,,22,,tending to the crops,0.32,2201,9,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,215,,,0.01,9215,10,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,singular,gram,,Bill,Kim,,17,,attending to the patients,0.66,1707,11,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,singular,gram,,Lydia,Liam,,21,,using the art studio,0.75,2107,12,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,216,,,0.02,9216,13,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,118,,,0.99,9118,14,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,no_alt,plural,ungram,congruent,David,those plumbers,,6,,fixing the leaking pipe,0.24,601,15,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,201,,,0.12,9201,16,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,213,,,0.02,9213,17,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,117,,,0.99,9117,18,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,plural,gram,,these professors,those students,,2,,drafting the important email,0.06,208,19,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,114,,,1,9114,20,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,alt,plural,ungram,incongruent,Hossein,Elias,,25,,sketching the concept art,0.6,2506,21,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,alt,singular,ungram,incongruent,these cooks,those children,,5,,preparing dinner,0.25,505,22,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,105,,,0.99,9105,23,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,alt,singular,ungram,incongruent,these fashion designers,those tailors,,19,,sewing the dresses,0.08,1905,24,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,singular,gram,,Fatima,Lucas,,7,,conducting the experiments,0.25,707,25,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,209,,,0.13,9209,26,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,no_alt,plural,ungram,congruent,Sarah,those staff members,,10,,writting the end-of-year report,0.48,1001,27,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,alt,plural,ungram,incongruent,Krishna,Amir,,12,,analyzing the market trends,0.65,1206,28,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,218,,,0.26,9218,29,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,plural,gram,,these drivers,those mechanics,,4,,reparing the truck engine,0.1,408,30,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,208,,,0.04,9208,31,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,106,,,0.97,9106,32,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,112,,,0.98,9112,33,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,plural,gram,,those administrators,these teachers,,11,,making the admission decisions,0.03,1108,34,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,alt,plural,ungram,incongruent,Melissa,Patrick,,8,,fixing the wiring issues,0.24,806,35,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,102,,,0.99,9102,36,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,207,,,0.01,9207,37,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,120,,,0.98,9120,38,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_good,,,,,115,,,0.98,9115,39,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,singular,gram,,Brian,Jamaal,,9,,creating the fashion collection,0.88,907,40,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,,,filler_bad,,,,,204,,,0.01,9204,41,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
10,condition1,no_alt,plural,ungram,congruent,Mateo,these architects,,13,,designing the building's layout,0.03,1301,42,,[],28,Yes,,3,1,$3,Female,English,No,Chrome,Windows,1080,1920,7.352283333333333,
