workerid,proliferate.condition,first_response_value,item,item_number,item_type,length,response,sentence,sentence_id,trial_sequence_total,verb,wh_type,wrong_attempts,verb
4865,Experiment Group,,,practice_good,practice_good,,0.98,,,0,,,0,
4865,Experiment Group,,,practice_bad,practice_bad,,0.02,,,0,,,0,
4865,Experiment Group,,1,,,short,0.98,老师想知道谁说修理工打了快递员。,201141,1,说,arg,,14
4865,Experiment Group,,11,,,long,0.08,政客想知道医生透露护士为什么推倒了男孩。,111082,2,透露,adj,,08
4865,Experiment Group,,,,,,0.99,教导主任鼓励学生们追求自己的梦想。,900030,3,,,,03
4865,Experiment Group,,3,,,long,0.15,经理想知道厨师抱怨服务员为什么接待了乞丐。,103042,4,抱怨,adj,,04
4865,Experiment Group,,,,,,0,穿着外套的老奶奶吴处长想知道赵先生见到了为什么,900005,5,,,,00
4865,Experiment Group,,6,,,long,0.01,检察官想知道教练员猜音乐家开除了谁。,206132,6,猜,arg,,13
4865,Experiment Group,,17,,,short,0.02,会计想知道演员为什么透露编辑邀请了神父。,117081,7,透露,adj,,08
4865,Experiment Group,,,,,,0,拎着袋子的小学生赵先生向人打听许厂长见到了为什么,900007,8,,,,00
4865,Experiment Group,,16,,,short,0.01,大学生想知道谁保证音乐老师夸赞了歌手。,216071,9,保证,arg,,07
4865,Experiment Group,,,,,,0.99,广告商邀请客户参加在西餐厅举办的宴会。,900028,10,,,,02
4865,Experiment Group,,29,,,short,0.01,编辑想知道法务顾问为什么抱怨杂技演员抚养了小女孩。,129041,11,抱怨,adj,,04
4865,Experiment Group,,,,,,0.99,冯阿姨瞧见了背着书包的中学生。,900017,12,,,,01
4865,Experiment Group,,15,,,long,0,主持人想知道学者坚称政府官员批评了谁。,215022,13,坚称,arg,,02
4865,Experiment Group,,,,,,0.22,国家领导人批准干部可以离职翻译官。,900014,14,,,,01
4865,Experiment Group,,,,,,0.01,农业专家相信天文学家可以退休物理学家。,900016,15,,,,01
4865,Experiment Group,,,,,,0.01,背着书包的中学生冯阿姨想了解蒋部长瞧见了为什么,900008,16,,,,00
4865,Experiment Group,,,,,,0.01,助理自己的缺点向指出经理。,900011,17,,,,01
4865,Experiment Group,,12,,,short,0.42,包工头想知道谁猜播音员打伤了算命先生。,212131,18,猜,arg,,13
4865,Experiment Group,,,,,,0.98,保姆想知道老爷爷午饭到底吃了些什么。,900032,19,,,,03
4865,Experiment Group,,18,,,short,0.02,船长想知道谁抱怨飞行员责备了经济学家。,218041,20,抱怨,arg,,04
4865,Experiment Group,,28,,,long,0,丞相想知道皇上证实将军为什么威胁了大臣。,128092,21,证实,adj,,09
4865,Experiment Group,,,,,,0.02,领导自己的烦恼向倾诉朋友。,900009,22,,,,00
4865,Experiment Group,,,,,,0.91,部门经理的好朋友向父母倾诉了自己的烦恼。,900025,23,,,,02
4865,Experiment Group,,26,,,short,0.01,制片人想知道健身教练为什么认同化妆师监视了调酒师。,126111,24,认同,adj,,11
4865,Experiment Group,,22,,,long,0.01,顾问想知道外交官保证生物学家为什么嘲讽了哲学家。,122072,25,保证,adj,,07
4865,Experiment Group,,,,,,0.84,运动员的姐姐向老师请教了一个问题。,900026,26,,,,02
4865,Experiment Group,,23,,,long,1,园丁想知道水管工证实焊工训斥了谁。,223092,27,证实,arg,,09
4865,Experiment Group,,,,,,0.03,戴着眼镜的博士生郑科长想要打听费叔叔看到了为什么,900006,28,,,,00
4865,Experiment Group,,30,,,long,0.14,舞蹈老师想知道实习生坚称歌手为什么赞美了剧作家。,130022,29,坚称,adj,,02
4865,Experiment Group,,,,,,0.99,部长没见过吃了包子的大学生。,900021,30,,,,02
4865,Experiment Group,,13,,,long,0,服务员想知道售票员抱怨演说家欺骗了谁。,213042,31,抱怨,arg,,04
4865,Experiment Group,,,,,,0.98,交警在马路边提醒行人要注意安全。,900029,32,,,,02
4865,Experiment Group,,20,,,short,0.01,售货员想知道作曲家为什么猜摄影师指责了心理医生。,120131,33,猜,adj,,13
4865,Experiment Group,,,,,,0.91,魏老师看到了看了报告的研究生。,900019,34,,,,01
4865,Experiment Group,,25,,,short,0,美容师想知道房东为什么保证营养师吓唬了快餐店员。,125071,35,保证,adj,,07
4865,Experiment Group,,21,,,long,0.02,省长想知道药剂师保证小报记者采访了谁。,221072,36,保证,arg,,07
4865,Experiment Group,,,,,,0.99,顾问没注意到端着盘子的阿姨。,900023,37,,,,02
4865,Experiment Group,,,,,,0.75,装修师傅不想见到吃了汉堡的小女孩。,900024,38,,,,02
4865,Experiment Group,,19,,,long,0.91,经理想知道道士认同和尚夸奖了谁。,219112,39,认同,arg,,11
4865,Experiment Group,,,,,,0.98,村长不想见买了卡车的村民。,900022,40,,,,02
4865,Experiment Group,,14,,,long,0.02,英语老师想知道工程师认同中学生为什么举报了店员。,114112,41,认同,adj,,11
4865,Experiment Group,,2,,,long,0,法官想知道律师猜警察为什么审问了学生。,102132,42,猜,adj,,13
4865,Experiment Group,,,,,,0.02,买了油条为什么的小男孩刘助理希望知道马秘书瞧见了,900001,43,,,,00
4865,Experiment Group,,9,,,short,0.53,将军想知道谁认同士兵跟踪了总统。,209111,44,认同,arg,,11
4865,Experiment Group,,31,,,long,0.02,心理学家想知道大学生透露保姆讨好了谁。,231082,45,透露,arg,,08
4865,Experiment Group,,,,,,0.01,队员们自己的优势向隐瞒对手。,900012,46,,,,01
4865,Experiment Group,,,,,,0.98,校长遇到了扛着箱子的维修员。,900018,47,,,,01
4865,Experiment Group,,,,,,0.02,端着凉皮为什么的小伙子孙市长向人打听韩村长看到了,900002,48,,,,00
4865,Experiment Group,,10,,,short,0.01,导游想知道外国人为什么坚称保安袭击了商贩。,110021,49,坚称,adj,,02
4865,Experiment Group,,5,,,short,0.93,市长想知道谁证实艺术家联系了毒枭。,205091,50,证实,arg,,09
4865,Experiment Group,,,,,,0.99,外科医生鼓励病人多锻炼身体。,900027,51,,,,02
4865,Experiment Group,,,,,,0.1,基金管理员期待顾客可以成功历史学家。,900013,52,,,,01
4865,Experiment Group,,8,,,short,0.01,侦探想知道售货员为什么证实飞行员羞辱了卡车司机。,108091,53,证实,adj,,09
4865,Experiment Group,,7,,,short,0.9,村长想知道谁透露电工无视了领导。,207081,54,透露,arg,,08
4865,Experiment Group,,,,,,0.02,学生自己的问题向提出老师。,900010,55,,,,01
4865,Experiment Group,,,,,,0.99,数学老师指导中学生们如何解决问题。,900031,56,,,,03
4865,Experiment Group,,,,,,0,文艺评论家怀疑编辑可以偷懒教授。,900015,57,,,,01
