workerid,proliferate.condition,first_response_value,item,item_number,item_type,length,response,sentence,verb_id,sentence_id,trial_sequence_total,verb,wh_type,wrong_attempts,error
4647,Experiment Group,,,practice_good,practice_good,,1,,,,0,,,0,
4647,Experiment Group,,,practice_bad,practice_bad,,0,,,,0,,,0,
4647,Experiment Group,,28,,,short,0.16,丞相想知道谁感觉将军威胁了大臣。,12,228121,1,感觉,arg,,
4647,Experiment Group,,,,,,1,部门经理的好朋友向父母倾诉了自己的烦恼。,02,900025,2,,,,
4647,Experiment Group,,5,,,long,0.16,市长想知道议员觉得艺术家联系了谁。,02,205022,3,觉得,arg,,
4647,Experiment Group,,2,,,long,0.15,法官想知道律师认为警察为什么审问了学生。,13,102132,4,认为,adj,,
4647,Experiment Group,,,,,,1,村长不想见买了卡车的村民。,02,900022,5,,,,
4647,Experiment Group,,,,,,0,助理自己的缺点向指出经理。,01,900011,6,,,,
4647,Experiment Group,,20,,,long,0.41,售货员想知道作曲家说摄影师指责了谁。,01,220012,7,说,arg,,
4647,Experiment Group,,,,,,1,外科医生鼓励病人多锻炼身体。,02,900027,8,,,,
4647,Experiment Group,,7,,,long,0.49,村长想知道农民怕电工无视了谁。,06,207062,9,怕,arg,,
4647,Experiment Group,,,,,,0.06,文艺评论家怀疑编辑可以偷懒教授。,01,900015,10,,,,
4647,Experiment Group,,6,,,long,0.12,检察官想知道教练员想音乐家开除了谁。,05,206052,11,想,arg,,
4647,Experiment Group,,15,,,short,0.27,主持人想知道谁希望政府官员批评了总统候选人。,03,215031,12,希望,arg,,
4647,Experiment Group,,,,,,0.99,冯阿姨瞧见了背着书包的中学生。,01,900017,13,,,,
4647,Experiment Group,,16,,,long,0.85,大学生想知道记者认为音乐老师夸赞了谁。,13,216132,14,认为,arg,,
4647,Experiment Group,,,,,,0.19,戴着眼镜的博士生郑科长想要打听费叔叔看到了为什么,00,900006,15,,,,
4647,Experiment Group,,1,,,short,0.37,老师想知道学生为什么感觉修理工打了快递员。,12,101121,16,感觉,adj,,
4647,Experiment Group,,9,,,short,0.08,将军想知道谁喜欢士兵跟踪了总统。,07,209071,17,喜欢,arg,,
4647,Experiment Group,,,,,,0,学生自己的问题向提出老师。,01,900010,18,,,,
4647,Experiment Group,,31,,,long,0,心理学家想知道大学生希望保姆为什么讨好了理发师。,03,131032,19,希望,adj,,
4647,Experiment Group,,14,,,short,0.11,英语老师想知道工程师为什么想中学生举报了店员。,05,114051,20,想,adj,,
4647,Experiment Group,,,,,,1,数学老师指导中学生们如何解决问题。,03,900031,21,,,,
4647,Experiment Group,,17,,,short,0.14,会计想知道谁认为编辑邀请了神父。,13,217131,22,认为,arg,,
4647,Experiment Group,,,,,,0,基金管理员期待顾客可以成功历史学家。,01,900013,23,,,,
4647,Experiment Group,,27,,,short,0.16,法医想知道业务员为什么怕罪犯谋害了程序员。,06,127061,24,怕,adj,,
4647,Experiment Group,,,,,,1,广告商邀请客户参加在西餐厅举办的宴会。,02,900028,25,,,,
4647,Experiment Group,,,,,,0,拿着烤肠为什么的小姑娘李经理想要打听陈校长见到了,00,900003,26,,,,
4647,Experiment Group,,29,,,short,0.4,编辑想知道法务顾问为什么认为杂技演员抚养了小女孩。,13,129131,27,认为,adj,,
4647,Experiment Group,,,,,,1,交警在马路边提醒行人要注意安全。,02,900029,28,,,,
4647,Experiment Group,,24,,,short,0.48,仓库管理员想知道谁说保险代理人挖苦了模特。,01,224011,29,说,arg,,
4647,Experiment Group,,10,,,short,0.92,导游想知道谁觉得保安袭击了商贩。,02,210021,30,觉得,arg,,
4647,Experiment Group,,,,,,0,喝着豆浆为什么的老爷爷周老板想弄明白郑科长见到了,00,900004,31,,,,
4647,Experiment Group,,,,,,1,运动员的姐姐向老师请教了一个问题。,02,900026,32,,,,
4647,Experiment Group,,,,,,1,装修师傅不想见到吃了汉堡的小女孩。,02,900024,33,,,,
4647,Experiment Group,,,,,,0,端着凉皮为什么的小伙子孙市长向人打听韩村长看到了,00,900002,34,,,,
4647,Experiment Group,,8,,,long,0.09,侦探想知道售货员想飞行员为什么羞辱了卡车司机。,05,108052,35,想,adj,,
4647,Experiment Group,,,,,,1,教导主任鼓励学生们追求自己的梦想。,03,900030,36,,,,
4647,Experiment Group,,3,,,long,0.09,经理想知道厨师感觉服务员为什么接待了乞丐。,12,103122,37,感觉,adj,,
4647,Experiment Group,,26,,,long,0.23,制片人想知道健身教练喜欢化妆师为什么监视了调酒师。,07,126072,38,喜欢,adj,,
4647,Experiment Group,,,,,,0,队员们自己的优势向隐瞒对手。,01,900012,39,,,,
4647,Experiment Group,,13,,,long,0,服务员想知道售票员感觉演说家欺骗了谁。,12,213122,40,感觉,arg,,
4647,Experiment Group,,4,,,long,0.1,教授想知道工程师觉得秘书为什么批评了运动员。,02,104022,41,觉得,adj,,
4647,Experiment Group,,,,,,0.12,国家领导人批准干部可以离职翻译官。,01,900014,42,,,,
4647,Experiment Group,,19,,,long,0.33,经理想知道道士怕和尚为什么夸奖了乞丐。,06,119062,43,怕,adj,,
4647,Experiment Group,,,,,,1,校长遇到了扛着箱子的维修员。,01,900018,44,,,,
4647,Experiment Group,,,,,,1,教授认识修了桌子的工人。,02,900020,45,,,,
4647,Experiment Group,,21,,,short,0.19,省长想知道药剂师为什么希望小报记者采访了税务员。,03,121031,46,希望,adj,,
4647,Experiment Group,,,,,,1,部长没见过吃了包子的大学生。,02,900021,47,,,,
4647,Experiment Group,,,,,,0,农业专家相信天文学家可以退休物理学家。,01,900016,48,,,,
4647,Experiment Group,,12,,,short,0,包工头想知道和尚为什么喜欢播音员打伤了算命先生。,07,112071,49,喜欢,adj,,
4647,Experiment Group,,32,,,short,0.29,助手想知道军官为什么说老师出卖了水手。,01,132011,50,说,adj,,
4647,Experiment Group,,,,,,0.94,魏老师看到了看了报告的研究生。,01,900019,51,,,,
4647,Experiment Group,,,,,,0,拎着袋子的小学生赵先生向人打听许厂长见到了为什么,00,900007,52,,,,
4647,Experiment Group,,23,,,long,0.3,园丁想知道水管工希望焊工训斥了谁。,03,223032,53,希望,arg,,
4647,Experiment Group,,,,,,1,保姆想知道老爷爷午饭到底吃了些什么。,03,900032,54,,,,
4647,Experiment Group,,,,,,0,背着书包的中学生冯阿姨想了解蒋部长瞧见了为什么,00,900008,55,,,,
4647,Experiment Group,,11,,,long,0.17,政客想知道医生说护士为什么推倒了男孩。,01,111012,56,说,adj,,
4647,Experiment Group,,,,,,0,穿着外套的老奶奶吴处长想知道赵先生见到了为什么,00,900005,57,,,,
4647,Experiment Group,,30,,,long,0.3,舞蹈老师想知道实习生喜欢歌手赞美了谁。,07,230072,58,喜欢,arg,,
4647,Experiment Group,,18,,,short,0.29,船长想知道建筑师为什么觉得飞行员责备了经济学家。,02,118021,59,觉得,adj,,
4647,Experiment Group,,,,,,1,顾问没注意到端着盘子的阿姨。,02,900023,60,,,,
4647,Experiment Group,,25,,,short,0.09,美容师想知道谁怕营养师吓唬了快餐店员。,06,225061,61,怕,arg,,
4647,Experiment Group,,,,,,0,买了油条为什么的小男孩刘助理希望知道马秘书瞧见了,00,900001,62,,,,
4647,Experiment Group,,,,,,0,领导自己的烦恼向倾诉朋友。,00,900009,63,,,,
4647,Experiment Group,,22,,,short,0.13,顾问想知道谁想生物学家嘲讽了哲学家。,05,222051,64,想,arg,,
4509,Experiment Group,,,practice_good,practice_good,,0.74,,,,0,,,0,
4509,Experiment Group,,,practice_bad,practice_bad,,0.03,,,,0,,,0,
4509,Experiment Group,,,,,,0.01,拿着烤肠为什么的小姑娘李经理想要打听陈校长见到了,00,900003,1,,,,
4509,Experiment Group,,29,,,long,0.63,编辑想知道法务顾问怕杂技演员为什么抚养了小女孩。,06,129062,2,怕,adj,,
4509,Experiment Group,,22,,,long,0.78,顾问想知道外交官觉得生物学家嘲讽了谁。,02,222022,3,觉得,arg,,
4509,Experiment Group,,,,,,0.65,农业专家相信天文学家可以退休物理学家。,01,900016,4,,,,
4509,Experiment Group,,28,,,short,0.98,丞相想知道谁觉得将军威胁了大臣。,02,228021,5,觉得,arg,,
4509,Experiment Group,,24,,,long,0.66,仓库管理员想知道采购员喜欢保险代理人为什么挖苦了模特。,07,124072,6,喜欢,adj,,
4509,Experiment Group,,,,,,0.33,文艺评论家怀疑编辑可以偷懒教授。,01,900015,7,,,,
4509,Experiment Group,,,,,,0.7,装修师傅不想见到吃了汉堡的小女孩。,02,900024,8,,,,
