unique_id,Lexicalization,wh_type,Verb,Length,Matrix,Emb_subj,Wh1,Emb_verb,Emb2_subj,Wh2,Emb2_verb,Emb2_object,sentence
101011,1,adj,说,short,老师想知道,学生,为什么,说,修理工,,打了,快递员,老师想知道学生为什么说修理工打了快递员。
101012,1,adj,说,long,老师想知道,学生,,说,修理工,为什么,打了,快递员,老师想知道学生说修理工为什么打了快递员。
101021,1,adj,觉得,short,老师想知道,学生,为什么,觉得,修理工,,打了,快递员,老师想知道学生为什么觉得修理工打了快递员。
101022,1,adj,觉得,long,老师想知道,学生,,觉得,修理工,为什么,打了,快递员,老师想知道学生觉得修理工为什么打了快递员。
101031,1,adj,希望,short,老师想知道,学生,为什么,希望,修理工,,打了,快递员,老师想知道学生为什么希望修理工打了快递员。
101032,1,adj,希望,long,老师想知道,学生,,希望,修理工,为什么,打了,快递员,老师想知道学生希望修理工为什么打了快递员。
101041,1,adj,说明,short,老师想知道,学生,为什么,说明,修理工,,打了,快递员,老师想知道学生为什么说明修理工打了快递员。
101042,1,adj,说明,long,老师想知道,学生,,说明,修理工,为什么,打了,快递员,老师想知道学生说明修理工为什么打了快递员。
101051,1,adj,想,short,老师想知道,学生,为什么,想,修理工,,打了,快递员,老师想知道学生为什么想修理工打了快递员。
101052,1,adj,想,long,老师想知道,学生,,想,修理工,为什么,打了,快递员,老师想知道学生想修理工为什么打了快递员。
101061,1,adj,怕,short,老师想知道,学生,为什么,怕,修理工,,打了,快递员,老师想知道学生为什么怕修理工打了快递员。
101062,1,adj,怕,long,老师想知道,学生,,怕,修理工,为什么,打了,快递员,老师想知道学生怕修理工为什么打了快递员。
101071,1,adj,喜欢,short,老师想知道,学生,为什么,喜欢,修理工,,打了,快递员,老师想知道学生为什么喜欢修理工打了快递员。
101072,1,adj,喜欢,long,老师想知道,学生,,喜欢,修理工,为什么,打了,快递员,老师想知道学生喜欢修理工为什么打了快递员。
101081,1,adj,记得,short,老师想知道,学生,为什么,记得,修理工,,打了,快递员,老师想知道学生为什么记得修理工打了快递员。
101082,1,adj,记得,long,老师想知道,学生,,记得,修理工,为什么,打了,快递员,老师想知道学生记得修理工为什么打了快递员。
101091,1,adj,猜,short,老师想知道,学生,为什么,猜,修理工,,打了,快递员,老师想知道学生为什么猜修理工打了快递员。
101092,1,adj,猜,long,老师想知道,学生,,猜,修理工,为什么,打了,快递员,老师想知道学生猜修理工为什么打了快递员。
101101,1,adj,假装,short,老师想知道,学生,为什么,假装,修理工,,打了,快递员,老师想知道学生为什么假装修理工打了快递员。
101102,1,adj,假装,long,老师想知道,学生,,假装,修理工,为什么,打了,快递员,老师想知道学生假装修理工为什么打了快递员。
101111,1,adj,害怕,short,老师想知道,学生,为什么,害怕,修理工,,打了,快递员,老师想知道学生为什么害怕修理工打了快递员。
101112,1,adj,害怕,long,老师想知道,学生,,害怕,修理工,为什么,打了,快递员,老师想知道学生害怕修理工为什么打了快递员。
101121,1,adj,感觉,short,老师想知道,学生,为什么,感觉,修理工,,打了,快递员,老师想知道学生为什么感觉修理工打了快递员。
101122,1,adj,感觉,long,老师想知道,学生,,感觉,修理工,为什么,打了,快递员,老师想知道学生感觉修理工为什么打了快递员。
101131,1,adj,认为,short,老师想知道,学生,为什么,认为,修理工,,打了,快递员,老师想知道学生为什么认为修理工打了快递员。
101132,1,adj,认为,long,老师想知道,学生,,认为,修理工,为什么,打了,快递员,老师想知道学生认为修理工为什么打了快递员。
101141,1,adj,写,short,老师想知道,学生,为什么,写,修理工,,打了,快递员,老师想知道学生为什么写修理工打了快递员。
101142,1,adj,写,long,老师想知道,学生,,写,修理工,为什么,打了,快递员,老师想知道学生写修理工为什么打了快递员。
102011,2,adj,说,short,法官想知道,律师,为什么,说,警察,,审问了,学生,法官想知道律师为什么说警察审问了学生。
102012,2,adj,说,long,法官想知道,律师,,说,警察,为什么,审问了,学生,法官想知道律师说警察为什么审问了学生。
102021,2,adj,觉得,short,法官想知道,律师,为什么,觉得,警察,,审问了,学生,法官想知道律师为什么觉得警察审问了学生。
102022,2,adj,觉得,long,法官想知道,律师,,觉得,警察,为什么,审问了,学生,法官想知道律师觉得警察为什么审问了学生。
102031,2,adj,希望,short,法官想知道,律师,为什么,希望,警察,,审问了,学生,法官想知道律师为什么希望警察审问了学生。
102032,2,adj,希望,long,法官想知道,律师,,希望,警察,为什么,审问了,学生,法官想知道律师希望警察为什么审问了学生。
102041,2,adj,说明,short,法官想知道,律师,为什么,说明,警察,,审问了,学生,法官想知道律师为什么说明警察审问了学生。
102042,2,adj,说明,long,法官想知道,律师,,说明,警察,为什么,审问了,学生,法官想知道律师说明警察为什么审问了学生。
102051,2,adj,想,short,法官想知道,律师,为什么,想,警察,,审问了,学生,法官想知道律师为什么想警察审问了学生。
102052,2,adj,想,long,法官想知道,律师,,想,警察,为什么,审问了,学生,法官想知道律师想警察为什么审问了学生。
102061,2,adj,怕,short,法官想知道,律师,为什么,怕,警察,,审问了,学生,法官想知道律师为什么怕警察审问了学生。
102062,2,adj,怕,long,法官想知道,律师,,怕,警察,为什么,审问了,学生,法官想知道律师怕警察为什么审问了学生。
102071,2,adj,喜欢,short,法官想知道,律师,为什么,喜欢,警察,,审问了,学生,法官想知道律师为什么喜欢警察审问了学生。
102072,2,adj,喜欢,long,法官想知道,律师,,喜欢,警察,为什么,审问了,学生,法官想知道律师喜欢警察为什么审问了学生。
102081,2,adj,记得,short,法官想知道,律师,为什么,记得,警察,,审问了,学生,法官想知道律师为什么记得警察审问了学生。
102082,2,adj,记得,long,法官想知道,律师,,记得,警察,为什么,审问了,学生,法官想知道律师记得警察为什么审问了学生。
102091,2,adj,猜,short,法官想知道,律师,为什么,猜,警察,,审问了,学生,法官想知道律师为什么猜警察审问了学生。
102092,2,adj,猜,long,法官想知道,律师,,猜,警察,为什么,审问了,学生,法官想知道律师猜警察为什么审问了学生。
102101,2,adj,假装,short,法官想知道,律师,为什么,假装,警察,,审问了,学生,法官想知道律师为什么假装警察审问了学生。
102102,2,adj,假装,long,法官想知道,律师,,假装,警察,为什么,审问了,学生,法官想知道律师假装警察为什么审问了学生。
102111,2,adj,害怕,short,法官想知道,律师,为什么,害怕,警察,,审问了,学生,法官想知道律师为什么害怕警察审问了学生。
102112,2,adj,害怕,long,法官想知道,律师,,害怕,警察,为什么,审问了,学生,法官想知道律师害怕警察为什么审问了学生。
102121,2,adj,感觉,short,法官想知道,律师,为什么,感觉,警察,,审问了,学生,法官想知道律师为什么感觉警察审问了学生。
102122,2,adj,感觉,long,法官想知道,律师,,感觉,警察,为什么,审问了,学生,法官想知道律师感觉警察为什么审问了学生。
