"workerid","proliferate.condition","condition_alt","condition_cop","condition_gram","condition_loc","conj1","conj2","first_response_value","item_number","item_type","predicate","response","sentence_id","trial_sequence_total","wrong_attempts","catch_trials","subject_information.age","subject_information.asses","subject_information.comments","subject_information.education","subject_information.enjoyment","subject_information.fairprice","subject_information.gender","subject_information.language","subject_information.problems","system.Browser","system.OS","system.screenH","system.screenW","time_in_minutes","error"
10,"condition1","filler_bad","","filler_bad",NA,"","",NA,"219","","",0.01,9219,1,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","filler_good","","filler_good",NA,"","",NA,"101","","",1,9101,2,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","alt","singular","ungram","incongruent","those carpenters","those kids",NA,"18","","building the tree house",0.1,1805,3,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","filler_good","","filler_good",NA,"","",NA,"103","","",1,9103,4,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","alt","plural","ungram","incongruent","Zeynab","Emma",NA,"14","","proofreading the manuscripts",0.98,1406,5,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","filler_bad","","filler_bad",NA,"","",NA,"220","","",0,9220,6,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","gram","plural","gram",NA,"those trainers","those atheletes",NA,"23","","working out at the gym",0.26,2308,7,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","filler_good","","filler_good",NA,"","",NA,"111","","",0.98,9111,8,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","no_alt","plural","ungram","congruent","Andy","those farmers",NA,"22","","tending to the crops",0.32,2201,9,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","filler_bad","","filler_bad",NA,"","",NA,"215","","",0.01,9215,10,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","gram","singular","gram",NA,"Bill","Kim",NA,"17","","attending to the patients",0.66,1707,11,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","gram","singular","gram",NA,"Lydia","Liam",NA,"21","","using the art studio",0.75,2107,12,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","filler_bad","","filler_bad",NA,"","",NA,"216","","",0.02,9216,13,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","filler_good","","filler_good",NA,"","",NA,"118","","",0.99,9118,14,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","no_alt","plural","ungram","congruent","David","those plumbers",NA,"6","","fixing the leaking pipe",0.24,601,15,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","filler_bad","","filler_bad",NA,"","",NA,"201","","",0.12,9201,16,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
10,"condition1","filler_bad","","filler_bad",NA,"","",NA,"213","","",0.02,9213,17,NA,"[]",28,"Yes","",3,1,"$3","Female","English","No","Chrome","Windows",1080,1920,7.35228333333333,NA
